id,linked_object_type,linked_object_id,claim_type,claim_value,source_name,source_url,source_date,retrieved_at,confidence,status,notes
ev:asset_asset_demo-farm-iowa_acreage_public_seed_640,asset,asset:demo-farm-iowa,acreage,640,public_seed,,2026-07-02,2026-07-05,0.3,inferred,
ev:asset_asset_demo-farm-iowa_acreage_source_pending_640,asset,asset:demo-farm-iowa,acreage,640,source pending,,,2026-07-05,,inferred,
ev:asset_asset_demo-farm-iowa_annual_yield_source_pending_corn_185_bu_ac_soybeans_56_bu_ac,asset,asset:demo-farm-iowa,annual_yield,corn 185 bu/ac; soybeans 56 bu/ac,source pending,,,2026-07-05,,inferred,
ev:asset_asset_demo-farm-iowa_asset_type_public_seed_farm,asset,asset:demo-farm-iowa,asset_type,farm,public_seed,,2026-07-02,2026-07-05,0.3,inferred,
ev:asset_asset_demo-farm-iowa_crop_history_source_pending_corn_soybeans,asset,asset:demo-farm-iowa,crop_history,"[""corn"", ""soybeans""]",source pending,,,2026-07-05,,inferred,
ev:asset_asset_demo-farm-iowa_current_estimated_value_source_pending_5760000,asset,asset:demo-farm-iowa,current_estimated_value,5760000,source pending,,,2026-07-05,,inferred,
ev:asset_asset_demo-farm-iowa_listing_price_public_seed_6100000,asset,asset:demo-farm-iowa,listing_price,6100000,public_seed,,2026-07-02,2026-07-05,0.3,inferred,
ev:asset_asset_demo-farm-iowa_listing_status_public_seed_active,asset,asset:demo-farm-iowa,listing_status,active,public_seed,,2026-07-02,2026-07-05,0.3,inferred,
ev:asset_asset_demo-farm-iowa_location_public_seed_Central_Iowa_Iowa_United_States,asset,asset:demo-farm-iowa,location,"Central Iowa, Iowa, United States",public_seed,,2026-07-02,2026-07-05,0.3,inferred,
ev:asset_asset_demo-farm-iowa_ownership_public_seed_USDA,asset,asset:demo-farm-iowa,ownership,USDA,public_seed,,2026-07-02,2026-07-05,0.3,inferred,
ev:asset_asset_demo-farm-iowa_risk_score_source_pending_0.42,asset,asset:demo-farm-iowa,risk_score,0.42,source pending,,,2026-07-05,,inferred,
ev:asset_asset_demo-farm-iowa_sale_price_source_pending_5120000,asset,asset:demo-farm-iowa,sale_price,5120000,source pending,,,2026-07-05,,inferred,
ev:asset_asset_demo-farm-iowa_soil_quality_source_pending_B_loam_mock,asset,asset:demo-farm-iowa,soil_quality,"B+ loam, mock",source pending,,,2026-07-05,,inferred,
ev:asset_asset_demo-farm-iowa_water_access_source_pending_seasonal_creek_and_drainage_ditch,asset,asset:demo-farm-iowa,water_access,seasonal creek and drainage ditch,source pending,,,2026-07-05,,inferred,
ev:risk_score_asset_demo-farm-iowa_risk_score_deterministic_valuation_model_0.42,risk_score,asset:demo-farm-iowa,risk_score,0.42,deterministic valuation model,,2026-07-05,2026-07-05,0.3,inferred,Deterministic scoring from public/mock fields and assumptions.
ev:risk_score_asset_demo-farm-iowa_score_breakdown_deterministic_valuation_model_factor_soil_quality_points_12_fac,risk_score,asset:demo-farm-iowa,score_breakdown,"[{""factor"": ""soil quality"", ""points"": 12}, {""factor"": ""water access"", ""points"": 12}, {""factor"": ""flood/drought risk"", ""points"": -4}, {""factor"": ""price per acre"", ""points"": -8}, {""factor"": ""road access"", ""points"": 9}, {""factor"": ""crop history"", ""points"": 14}]",deterministic valuation model,,2026-07-05,2026-07-05,0.3,inferred,Deterministic scoring from public/mock fields and assumptions.
ev:valuation_asset_demo-farm-iowa_annual_revenue_deterministic_valuation_model_123456.0,valuation,asset:demo-farm-iowa,annual_revenue,123456.0,deterministic valuation model,,2026-07-05,2026-07-05,0.3,inferred,"Modeled estimate, not a fact or guarantee."
ev:valuation_asset_demo-farm-iowa_current_estimated_value_deterministic_valuation_model_5760000.0,valuation,asset:demo-farm-iowa,current_estimated_value,5760000.0,deterministic valuation model,,2026-07-05,2026-07-05,0.3,inferred,"Modeled estimate, not a fact or guarantee."
ev:valuation_asset_demo-farm-iowa_risk_score_deterministic_valuation_model_0.42,valuation,asset:demo-farm-iowa,risk_score,0.42,deterministic valuation model,,2026-07-05,2026-07-05,0.3,inferred,"Modeled estimate, not a fact or guarantee."
